galaxies.source.pixelization.regularization.coefficient,    log_likelihood,          log_prior,     log_posterior,weight
                                     3146.0281542615553, 222541.4678889883, -8.053896032803085, 222533.4139929555,   1.0
                                     3146.0281542615553, 222541.4678889883, -8.053896032803085, 222533.4139929555,   1.0
                                      3146.028154271555,222541.46788898815, -8.053896032806264,222533.41399295535,   1.0
                                     3145.0281542615553,222541.48109891464, -8.053578121164918,222533.42752079348,   1.0
                                      3145.028154271555,222541.48109891452, -8.053578121168098,222533.42752079334,   1.0
                                     3141.0281542615553,222541.53395720967, -8.052305462969203, 222533.4816517467,   1.0
                                      3141.028154271555, 222541.5339572095, -8.052305462972386,222533.48165174652,   1.0
                                     3125.0281542615553,222541.74568954547, -8.047198571493615,222533.69849097397,   1.0
                                      3125.028154271555,222541.74568954532, -8.047198571496816,222533.69849097382,   1.0
                                     3061.0281542615553,222542.59731571446, -8.026506136636389,222534.57080957782,   1.0
                                      3061.028154271555,222542.59731571432, -8.026506136639656,222534.57080957768,   1.0
                                     2805.0281542615553,222546.07283914107,-7.9391688550763195,222538.13367028598,   1.0
                                      2805.028154271555,222546.07283914092, -7.939168855079885,222538.13367028584,   1.0
                                     1781.0281542615553,222560.47725525167, -7.484946091284622,222552.99230916039,   1.0
                                     1781.0281542715552,222560.47725525155, -7.484946091290237,222552.99230916027,   1.0
                                     -3678.971845738442,               nan,               -inf,               nan,   1.0
                                     -3678.971845728442,               nan,               -inf,               nan,   1.0
                                     1781.0281542615553,222560.47725525167, -7.484946091284622,222552.99230916039,   1.0
                                     1781.0281542715552,222560.47725525155, -7.484946091290237,222552.99230916027,   1.0
                                     1781.0281542615553,222560.47725525167, -7.484946091284622,222552.99230916039,   1.0
