galaxies.source.pixelization.regularization.coefficient,    log_likelihood,         log_prior,     log_posterior,weight
                                     1075.4528424530586,222658.32529943058,-6.980497100654942,222651.34480232993,   1.0
                                     1075.4528424530586,222658.32529943058,-6.980497100654942,222651.34480232993,   1.0
                                     1075.4528424630585,222658.32529943026, -6.98049710066424, 222651.3448023296,   1.0
                                     1074.4528424530586,222658.35431769775, -6.97956682722096,222651.37475087054,   1.0
                                     1074.4528424630585,222658.35431769746,-6.979566827230268,222651.37475087022,   1.0
                                     1070.4528424530586,222658.47037949544,-6.975837055170643,222651.49454244028,   1.0
                                     1070.4528424630585,222658.47037949518,-6.975837055179984,   222651.49454244,   1.0
                                     1054.4528424530586,222658.93447191943, -6.96077727862777, 222651.9736946408,   1.0
                                     1054.4528424630585,222658.93447191914,-6.960777278637253, 222651.9736946405,   1.0
                                      990.4528424530586,222660.78981528693,-6.898162255164796,222653.89165303178,   1.0
                                      990.4528424630586,222660.78981528664,-6.898162255174892,222653.89165303146,   1.0
                                      734.4528424530586,222668.25425819127, -6.59912578994906,222661.65513240133,   1.0
                                      734.4528424630586,222668.25425819098,-6.599125789962676,  222661.655132401,   1.0
                                    -289.54715754694155,               nan,              -inf,               nan,   1.0
                                    -289.54715753694154,               nan,              -inf,               nan,   1.0
                                      734.4528424530586,222668.25425819127, -6.59912578994906,222661.65513240133,   1.0
                                      734.4528424630586,222668.25425819098,-6.599125789962676,  222661.655132401,   1.0
                                     -29993625.54747942,               nan,              -inf,               nan,   1.0
                                     -29993625.54747941,               nan,              -inf,               nan,   1.0
                                      734.4528424530586,222668.25425819127, -6.59912578994906,222661.65513240133,   1.0
                                      734.4528424630586,222668.25425819098,-6.599125789962676,  222661.655132401,   1.0
                                      734.4528424530586,222668.25425819127, -6.59912578994906,222661.65513240133,   1.0
