galaxies.source.pixelization.regularization.coefficient,    log_likelihood,          log_prior,     log_posterior,weight
                                     1011.2282828586932, 222583.8735302172, -6.918920992600634, 222576.9546092246,   1.0
                                     1011.2282828586932, 222583.8735302172, -6.918920992600634, 222576.9546092246,   1.0
                                     1011.2282828686932,222583.87353021695, -6.918920992610523,222576.95460922434,   1.0
                                     1010.2282828586932,  222583.898575535, -6.917931606928407,222576.98064392805,   1.0
                                     1010.2282828686932,222583.89857553475, -6.917931606938306,222576.98064392782,   1.0
                                     1002.2282828586932,222584.09877078078, -6.909981082900418, 222577.1887896979,   1.0
                                     1002.2282828686932,222584.09877078055, -6.909981082910396,222577.18878969763,   1.0
                                      970.2282828586932, 222584.8965062678, -6.877531386961865,222578.01897488083,   1.0
                                      970.2282828686932,222584.89650626757, -6.877531386972172, 222578.0189748806,   1.0
                                      842.2282828586932,222588.02265393117,  -6.73605109728067, 222581.2866028339,   1.0
                                      842.2282828686932,222588.02265393094,-6.7360510972925445,222581.28660283366,   1.0
                                      330.2282828586932,222598.36533128977, -5.799784181539015, 222592.5655471082,   1.0
                                      330.2282828686932,222598.36533128965, -5.799784181569297,222592.56554710807,   1.0
                                     -803.1050504746398,               nan,               -inf,               nan,   1.0
                                     -803.1050504646398,               nan,               -inf,               nan,   1.0
                                      330.2282828586932,222598.36533128977, -5.799784181539015, 222592.5655471082,   1.0
                                      330.2282828686932,222598.36533128965, -5.799784181569297,222592.56554710807,   1.0
                                      330.2282828586932,222598.36533128977, -5.799784181539015, 222592.5655471082,   1.0
