galaxies.source.pixelization.regularization.coefficient,    log_likelihood,          log_prior,     log_posterior,weight
                                      1041.671676993214,222667.29199926197,  -6.94858208340431,222660.34341717858,   1.0
                                      1041.671676993214,222667.29199926197,  -6.94858208340431,222660.34341717858,   1.0
                                      1041.671677003214,222667.29199926154,  -6.94858208341391, 222660.3434171781,   1.0
                                      1040.671676993214,222667.33845545177,-6.9476216269311175,222660.39083382484,   1.0
                                      1040.671677003214, 222667.3384554513, -6.947621626940727,222660.39083382435,   1.0
                                      1036.671676993214,222667.52436686817, -6.943770549605916,222660.58059631856,   1.0
                                      1036.671677003214, 222667.5243668677, -6.943770549615562, 222660.5805963181,   1.0
                                     1020.6716769932141,222668.26944684924,-6.9282161964139055,222661.34123065282,   1.0
                                     1020.6716770032141,222668.26944684878, -6.928216196423703,222661.34123065235,   1.0
                                      956.6716769932141,222671.27545781367, -6.863460257346979, 222664.4119975563,   1.0
                                      956.6716770032141, 222671.2754578132, -6.863460257357432,222664.41199755584,   1.0
                                      700.6716769932141,222683.74948049756, -6.552039413542288,222677.19744108402,   1.0
                                      700.6716770032141,222683.74948049703,  -6.55203941355656,222677.19744108347,   1.0
                                     -323.3283230067859,               nan,               -inf,               nan,   1.0
                                     -323.3283229967859,               nan,               -inf,               nan,   1.0
                                      700.6716769932141,222683.74948049756, -6.552039413542288,222677.19744108402,   1.0
                                      700.6716770032141,222683.74948049703,  -6.55203941355656,222677.19744108347,   1.0
                                      700.5610825252112,222683.75505603867,-6.5518815604411795,222677.20317447823,   1.0
                                      700.5610825352112,222683.75505603815, -6.551881560455454, 222677.2031744777,   1.0
                                      700.1187046531996,222683.77736021957, -6.551249898742667,222677.22611032083,   1.0
                                      700.1187046631997,222683.77736021904, -6.551249898756951,222677.22611032028,   1.0
                                      698.3491931651535,222683.86660940512, -6.548719254406591, 222677.3178901507,   1.0
                                      698.3491931751535,222683.86660940462, -6.548719254420911, 222677.3178901502,   1.0
                                      678.6080806266381,222684.86584537817,  -6.52004376006974, 222678.3458016181,   1.0
                                      678.6080806366381,222684.86584537767, -6.520043760084476, 222678.3458016176,   1.0
                                      599.6436304725765, 222688.9184692561, -6.396335529546066,222682.52213372657,   1.0
                                      599.6436304825766, 222688.9184692556, -6.396335529562743,222682.52213372602,   1.0
                                     283.78582985633045,222705.05018840692, -5.648219833445325,222699.40196857348,   1.0
                                     283.78582986633046,222705.05018840643, -5.648219833480563,222699.40196857296,   1.0
                                     -979.6453726086539,               nan,               -inf,               nan,   1.0
                                     -979.6453725986539,               nan,               -inf,               nan,   1.0
                                     283.78582985633045,222705.05018840692, -5.648219833445325,222699.40196857348,   1.0
                                     283.78582986633046,222705.05018840643, -5.648219833480563,222699.40196857296,   1.0
                                      262.8834754037848,222706.04752442733, -5.571710874696794,222700.47581355262,   1.0
                                      262.8834754137848,222706.04752442686,-5.5717108747348325,222700.47581355213,   1.0
                                     179.27405759360227,222709.73335806085, -5.188915682990645,222704.54444237787,   1.0
                                     179.27405760360227,222709.73335806045, -5.188915683046426, 222704.5444423774,   1.0
                                     -656.8201205082231,               nan,               -inf,               nan,   1.0
                                     -656.8201204982231,               nan,               -inf,               nan,   1.0
                                     179.27405759360227,222709.73335806085, -5.188915682990645,222704.54444237787,   1.0
                                     179.27405760360227,222709.73335806045, -5.188915683046426, 222704.5444423774,   1.0
                                     179.27405759360227,222709.73335806085, -5.188915682990645,222704.54444237787,   1.0
