galaxies.source.pixelization.regularization.coefficient,    log_likelihood,          log_prior,     log_posterior,weight
                                      95732.53986449653, 221930.0428010765,-11.469313539130244,221918.57348753736,   1.0
                                      95732.53986449653, 221930.0428010765,-11.469313539130244,221918.57348753736,   1.0
                                      95732.53986450653,221930.04280107643,-11.469313539130349, 221918.5734875373,   1.0
                                      95731.53986449653,221930.05051939987,-11.469303093306657,221918.58121630657,   1.0
                                      95731.53986450653, 221930.0505193998,-11.469303093306761, 221918.5812163065,   1.0
                                      95727.53986449653,221930.08139241545,-11.469261308921125,221918.61213110652,   1.0
                                      95727.53986450653,221930.08139241536, -11.46926130892123,221918.61213110643,   1.0
                                      95711.53986449653, 221930.2048800313,-11.469094153917455,221918.73578587736,   1.0
                                      95711.53986450653,221930.20488003123, -11.46909415391756, 221918.7357858773,   1.0
                                      95679.53986449653,221930.45183391927,-11.468759760064373,221918.98307415922,   1.0
                                      95679.53986450653,221930.45183391916,-11.468759760064476, 221918.9830741591,   1.0
                                      95551.53986449653, 221931.4393648359,-11.467421065336536,221919.97194377056,   1.0
                                      95551.53986450653,221931.43936483582, -11.46742106533664,221919.97194377048,   1.0
                                      95039.53986449653,221935.38493120196, -11.46204829309166,221923.92288290887,   1.0
                                      95039.53986450653,221935.38493120187,-11.462048293091765,221923.92288290878,   1.0
                                      92991.53986449653,221951.09407805774,-11.440263798798483,221939.65381425893,   1.0
                                      92991.53986450653,221951.09407805768, -11.44026379879859,221939.65381425887,   1.0
                                      88895.53986449653,221982.15321776463,-11.395217249990294,221970.75800051464,   1.0
                                      88895.53986450653,221982.15321776457,-11.395217249990408, 221970.7580005146,   1.0
                                      72511.53986449652,222101.58831536153,-11.191500998721258,222090.39681436282,   1.0
                                      72511.53986450651,222101.58831536147,-11.191500998721397,222090.39681436276,   1.0
                                      6975.539864496472,222502.82496513106, -8.850165003622156,222493.97480012744,   1.0
                                     6975.5398645064715,222502.82496513097, -8.850165003623589,222493.97480012735,   1.0
                                    -255168.46013550373,               nan,               -inf,               nan,   1.0
                                    -255168.46013549372,               nan,               -inf,               nan,   1.0
                                      6975.539864496472,222502.82496513106, -8.850165003622156,222493.97480012744,   1.0
                                     6975.5398645064715,222502.82496513097, -8.850165003623589,222493.97480012735,   1.0
                                      6975.522402013525,222502.82510245332,    -8.850162500231, 222493.9749399531,   1.0
                                      6975.522402023525,222502.82510245327, -8.850162500232434,222493.97493995304,   1.0
                                      6975.522402013525,222502.82510245332,    -8.850162500231, 222493.9749399531,   1.0
