galaxies.source.pixelization.regularization.coefficient,    log_likelihood,          log_prior,     log_posterior,weight
                                       956.658793906954,222570.96622339304, -6.863446790686142,222564.10277660235,   1.0
                                       956.658793906954,222570.96622339304, -6.863446790686142,222564.10277660235,   1.0
                                       956.658793916954,222570.96622339296, -6.863446790696595,222564.10277660226,   1.0
                                       955.658793906954,222570.97686004458, -6.862400939204649, 222564.1144591054,   1.0
                                       955.658793916954, 222570.9768600445, -6.862400939215113,222564.11445910527,   1.0
                                       951.658793906954,222571.01933342332, -6.858206560785633,222564.16112686254,   1.0
                                       951.658793916954,222571.01933342323, -6.858206560796141,222564.16112686243,   1.0
                                       935.658793906954,222571.18805169314, -6.841250873593843,222564.34680081953,   1.0
                                       935.658793916954,222571.18805169303, -6.841250873604531,222564.34680081942,   1.0
                                       871.658793906954, 222571.8437400228,  -6.77039805594342,222565.07334196687,   1.0
                                       871.658793916954, 222571.8437400227,-6.7703980559548915,222565.07334196675,   1.0
                                      615.6587939069539,222574.12492215328, -6.422692904075717, 222567.7022292492,   1.0
                                      615.6587939169539, 222574.1249221532,  -6.42269290409196, 222567.7022292491,   1.0
                                     -408.3412060930464,               nan,               -inf,               nan,   1.0
                                     -408.3412060830464,               nan,               -inf,               nan,   1.0
                                      615.6587939069539,222574.12492215328, -6.422692904075717, 222567.7022292492,   1.0
                                      615.6587939169539, 222574.1249221532,  -6.42269290409196, 222567.7022292491,   1.0
                                      615.6355108610585,222574.12510279115, -6.422655085260495, 222567.7024477059,   1.0
                                      615.6355108710585,222574.12510279106, -6.422655085276738, 222567.7024477058,   1.0
                                       615.542378677477,  222574.125825292, -6.422503795695355, 222567.7033214963,   1.0
                                       615.542378687477, 222574.1258252919, -6.422503795711601, 222567.7033214962,   1.0
                                      615.1931329890465,222574.12853394815,-6.4219362558876645,222567.70659769227,   1.0
                                      615.1931329990465, 222574.1285339481, -6.421936255903919, 222567.7065976922,   1.0
                                      613.7961502353244, 222574.1393571708, -6.419662870147922,222567.71969430064,   1.0
                                      613.7961502453244,222574.13935717073, -6.419662870164214,222567.71969430055,   1.0
                                      608.2082192204359,222574.18246746674, -6.410517289161217, 222567.7719501776,   1.0
                                      608.2082192304359, 222574.1824674667, -6.410517289177659, 222567.7719501775,   1.0
                                      585.8564951608821,222574.35197671194, -6.373074870782898,222567.97890184115,   1.0
                                      585.8564951708821,222574.35197671183, -6.373074870799967,222567.97890184104,   1.0
                                     496.44959892266684,222574.98097112047,-6.2074819655885864,222568.77348915488,   1.0
                                     496.44959893266685, 222574.9809711204,-6.2074819656087294,222568.77348915482,   1.0
                                      258.2640394130465,222576.19256939896,-5.5539824701737786,222570.63858692878,   1.0
                                      258.2640394230465, 222576.1925693989, -5.553982470212499, 222570.6385869287,   1.0
                                      -694.478198625435,               nan,               -inf,               nan,   1.0
                                      -694.478198615435,               nan,               -inf,               nan,   1.0
                                      258.2640394130465,222576.19256939896,-5.5539824701737786,222570.63858692878,   1.0
                                      258.2640394230465, 222576.1925693989, -5.553982470212499, 222570.6385869287,   1.0
                                     -99.01429985138412,               nan,               -inf,               nan,   1.0
                                     -99.01429984138413,               nan,               -inf,               nan,   1.0
                                      258.2640394130465,222576.19256939896,-5.5539824701737786,222570.63858692878,   1.0
                                      258.2640394230465, 222576.1925693989, -5.553982470212499, 222570.6385869287,   1.0
                                      258.2640394130465,222576.19256939896,-5.5539824701737786,222570.63858692878,   1.0
